,roll_yield,near_by,deferred
2017-09-01,-0.05520311013844735,AG1712,AG1806
2017-09-04,-0.05439869099363227,AG1712,AG1806
2017-09-05,-0.05203940996403901,AG1712,AG1806
2017-09-06,-0.05210276394199187,AG1712,AG1806
2017-09-07,-0.05137897223062174,AG1712,AG1806
2017-09-08,-0.05211545325400069,AG1712,AG1806
2017-09-11,-0.05238747743327743,AG1712,AG1806
2017-09-12,-0.05294062962787402,AG1712,AG1806
2017-09-13,-0.05296683767975957,AG1712,AG1806
2017-09-14,-0.05462107100995357,AG1712,AG1806
2017-09-15,-0.05258239373434904,AG1712,AG1806
2017-09-18,-0.05370785187570383,AG1712,AG1806
2017-09-19,-0.052879827159887455,AG1712,AG1806
2017-09-20,-0.05479794837622869,AG1712,AG1806
2017-09-21,-0.057103037639262916,AG1712,AG1806
2017-09-22,-0.05510552668697184,AG1712,AG1806
2017-09-25,-0.05465797958921109,AG1712,AG1806
2017-09-26,-0.05388718269635523,AG1712,AG1806
2017-09-27,-0.054853616040278205,AG1712,AG1806
2017-09-28,-0.053622514901313534,AG1712,AG1806
2017-09-29,-0.05549547842940618,AG1712,AG1806
2017-10-09,-0.05619911584182985,AG1712,AG1806
2017-10-10,-0.0551166215879165,AG1712,AG1806
2017-10-11,-0.05724083239312773,AG1712,AG1806
2017-10-12,-0.057637962568638804,AG1712,AG1806
2017-10-13,-0.05794585939349227,AG1712,AG1806
2017-10-16,-0.058105764702374024,AG1712,AG1806
2017-10-17,-0.05598650783572507,AG1712,AG1806
2017-10-18,-0.05611387915033915,AG1712,AG1806
2017-10-19,-0.05579869896003124,AG1712,AG1806
2017-10-20,-0.0565837184004941,AG1712,AG1806
2017-10-23,-0.05744453849227374,AG1712,AG1806
2017-10-24,-0.057269844760163474,AG1712,AG1806
2017-10-25,-0.05757625984725748,AG1712,AG1806
2017-10-26,-0.05841685116611163,AG1712,AG1806
2017-10-27,-0.05203126668211655,AG1712,AG1806
2017-10-30,-0.051403497698197936,AG1712,AG1806
2017-10-31,-0.055865259199654196,AG1712,AG1806
2017-11-01,-0.057975073746504374,AG1712,AG1806
2017-11-02,-0.057975073746504374,AG1712,AG1806
2017-11-03,-0.05639901212489663,AG1712,AG1806
2017-11-06,-0.05575095667702406,AG1712,AG1806
2017-11-07,-0.057813356010023756,AG1712,AG1806
2017-11-08,-0.05745914442596022,AG1712,AG1806
2017-11-09,-0.05831316858291097,AG1712,AG1806
2017-11-10,-0.05835755887120549,AG1712,AG1806
2017-11-13,-0.059142723957589904,AG1712,AG1806
2017-11-14,-0.05908247304760483,AG1712,AG1806
2017-11-15,-0.05856561040097566,AG1712,AG1806
2017-11-16,-0.058078456962262354,AG1712,AG1806
2017-11-17,-0.05949339128781442,AG1712,AG1806
2017-11-20,-0.05922234538031826,AG1712,AG1806
2017-11-21,-0.058520903133953486,AG1712,AG1806
2017-11-22,-0.06011659923403657,AG1712,AG1806
2017-11-23,-0.059584292144454175,AG1712,AG1806
2017-11-24,-0.061057908942171474,AG1712,AG1806
2017-11-27,-0.06064931536593311,AG1712,AG1806
2017-11-28,-0.06113568200892755,AG1712,AG1806
2017-11-29,-0.05900132879339598,AG1712,AG1806
2017-11-30,-0.06273384144057527,AG1712,AG1806
2017-12-01,-0.06312991230884975,AG1712,AG1806
2017-12-04,-0.06383239939371665,AG1712,AG1806
2017-12-05,-0.0634973966291606,AG1712,AG1806
2017-12-06,-0.06472018121940555,AG1712,AG1806
2017-12-07,-0.0687948662301664,AG1712,AG1806
2017-12-08,-0.0682101301147772,AG1712,AG1806
2017-12-11,-0.06736106555533183,AG1712,AG1806
2017-12-12,-0.07144590635736499,AG1712,AG1806
2017-12-13,-0.06882164546925831,AG1712,AG1806
2017-12-14,-0.06800280289448893,AG1712,AG1806
2017-12-15,-0.06723774263378446,AG1712,AG1806
2017-12-18,-0.06919860022016236,AG1801,AG1806
2017-12-19,-0.06454922430217806,AG1801,AG1806
2017-12-20,-0.0665997910869657,AG1801,AG1806
2017-12-21,-0.06535374443880054,AG1801,AG1806
2017-12-22,-0.067953257284329,AG1801,AG1806
2017-12-25,-0.0671638338695692,AG1801,AG1806
2017-12-26,-0.0658269112358531,AG1801,AG1806
2017-12-27,-0.06686372001494169,AG1801,AG1806
2017-12-28,-0.062487257923724976,AG1801,AG1806
2017-12-29,-0.1042131874806671,AG1801,AG1806
2018-01-02,-0.06357162112459061,AG1801,AG1806
2018-01-03,-0.059862807238705226,AG1801,AG1806
2018-01-04,-0.0682985652872555,AG1801,AG1806
2018-01-05,-0.05744290857662597,AG1801,AG1806
2018-01-08,-0.05490231613510549,AG1801,AG1806
2018-01-09,-0.05987836571507668,AG1801,AG1806
2018-01-10,-0.05801933573320556,AG1806,AG1812
2018-01-11,-0.055841190797254636,AG1806,AG1812
2018-01-12,-0.05527034446865285,AG1806,AG1812
2018-01-15,-0.05477041173528566,AG1806,AG1812
2018-01-16,-0.05553107860842313,AG1806,AG1812
2018-01-17,-0.05596905552416627,AG1806,AG1812
2018-01-18,-0.0578267223018645,AG1806,AG1812
2018-01-19,-0.055559128214151335,AG1806,AG1812
2018-01-22,-0.053980914619964,AG1806,AG1812
2018-01-23,-0.0543623210887806,AG1806,AG1812
2018-01-24,-0.053501132577301255,AG1806,AG1812
2018-01-25,-0.053417133364392785,AG1806,AG1812
2018-01-26,-0.056784549402975545,AG1806,AG1812
2018-01-29,-0.05548135383408295,AG1806,AG1812
2018-01-30,-0.05571678345089512,AG1806,AG1812
2018-01-31,-0.054572240216639374,AG1806,AG1812
2018-02-01,-0.05307538051423562,AG1806,AG1812
2018-02-02,-0.05570241419153038,AG1806,AG1812
2018-02-05,-0.05658011164901601,AG1806,AG1812
2018-02-06,-0.05601727254980034,AG1806,AG1812
2018-02-07,-0.053942984318794386,AG1806,AG1812
2018-02-08,-0.05635687514883585,AG1806,AG1812
2018-02-09,-0.05616093028153574,AG1806,AG1812
2018-02-12,-0.05558882692077324,AG1806,AG1812
2018-02-13,-0.05421538450854643,AG1806,AG1812
2018-02-14,-0.05360543788825367,AG1806,AG1812
2018-02-22,-0.055812583405103776,AG1806,AG1812
2018-02-23,-0.057078150333369757,AG1806,AG1812
2018-02-26,-0.05818976968358997,AG1806,AG1812
2018-02-27,-0.05516127954268561,AG1806,AG1812
2018-02-28,-0.055678113861542824,AG1806,AG1812
2018-03-01,-0.0568707844879917,AG1806,AG1812
2018-03-02,-0.05833189385969423,AG1806,AG1812
2018-03-05,-0.058639594891731026,AG1806,AG1812
2018-03-06,-0.05720021030649157,AG1806,AG1812
2018-03-07,-0.05789808108004671,AG1806,AG1812
2018-03-08,-0.056956610215580517,AG1806,AG1812
2018-03-09,-0.05721550452162996,AG1806,AG1812
2018-03-12,-0.05826952299134795,AG1806,AG1812
2018-03-13,-0.05836312939490161,AG1806,AG1812
2018-03-14,-0.058702186151392846,AG1806,AG1812
2018-03-15,-0.05830069174304494,AG1806,AG1812
2018-03-16,-0.0580373877780718,AG1806,AG1812
2018-03-19,-0.057518885511823575,AG1806,AG1812
2018-03-20,-0.05786533136671373,AG1806,AG1812
2018-03-21,-0.0563722955119346,AG1806,AG1812
2018-03-22,-0.05729209845115518,AG1806,AG1812
2018-03-23,-0.05871785485126345,AG1806,AG1812
2018-03-26,-0.059370584909065494,AG1806,AG1812
2018-03-27,-0.05760398180741237,AG1806,AG1812
2018-03-28,-0.05716215457387015,AG1806,AG1812
2018-03-29,-0.05476793479508281,AG1806,AG1812
2018-03-30,-0.05399100868402347,AG1806,AG1812
2018-04-02,-0.0548723811057973,AG1806,AG1812
2018-04-03,-0.05459060701070035,AG1806,AG1812
2018-04-04,-0.05314846374664832,AG1806,AG1812
2018-04-09,-0.05319173760859689,AG1806,AG1812
2018-04-10,-0.054738547434719405,AG1806,AG1812
2018-04-11,-0.05345168992515063,AG1806,AG1812
2018-04-12,-0.05386805562924564,AG1806,AG1812
2018-04-13,-0.05481281876222697,AG1806,AG1812
2018-04-16,-0.053437263248388836,AG1806,AG1812
2018-04-17,-0.054886414593206735,AG1806,AG1812
2018-04-18,-0.05468043611085234,AG1806,AG1812
2018-04-19,-0.05399358180405374,AG1806,AG1812
2018-04-20,-0.05730448514632433,AG1806,AG1812
2018-04-23,-0.0559698615579744,AG1806,AG1812
2018-04-24,-0.055179608157051925,AG1806,AG1812
2018-04-25,-0.05473912917175444,AG1806,AG1812
2018-04-26,-0.054297112419482346,AG1806,AG1812
2018-04-27,-0.05659992328525256,AG1806,AG1812
2018-05-02,-0.0560199777280489,AG1806,AG1812
2018-05-03,-0.05415982179173026,AG1806,AG1812
2018-05-04,-0.05356738439070713,AG1806,AG1812
2018-05-07,-0.05290456914482694,AG1806,AG1812
2018-05-08,-0.05450222599985649,AG1806,AG1812
2018-05-09,-0.05407196059892869,AG1806,AG1812
2018-05-10,-0.05439947585291169,AG1806,AG1812
2018-05-11,-0.05522398822725693,AG1806,AG1812
2018-05-14,-0.055298113874771834,AG1806,AG1812
2018-05-15,-0.05423325787488113,AG1806,AG1812
2018-05-16,-0.05455875684332412,AG1806,AG1812
2018-05-17,-0.054588541520954575,AG1806,AG1812
2018-05-18,-0.054917137887587106,AG1806,AG1812
2018-05-21,-0.05461835873843035,AG1806,AG1812
2018-05-22,-0.056004746709917806,AG1806,AG1812
2018-05-23,-0.05254195193659432,AG1806,AG1812
2018-05-24,-0.052063677435893733,AG1806,AG1812
2018-05-25,-0.05131949356115521,AG1806,AG1812
2018-05-28,-0.05162628716855973,AG1806,AG1812
2018-05-29,-0.050566782184951864,AG1806,AG1812
2018-05-30,-0.05166840710952682,AG1806,AG1812
2018-05-31,-0.05725478750323271,AG1806,AG1812
2018-06-01,-0.05531805998024934,AG1806,AG1812
2018-06-04,-0.05484258376093186,AG1806,AG1812
2018-06-05,-0.05435117075792956,AG1806,AG1812
2018-06-06,-0.05304776471774868,AG1806,AG1812
2018-06-07,-0.05555163646911803,AG1806,AG1812
2018-06-08,-0.05237173312196036,AG1806,AG1812
2018-06-11,-0.05446145369900046,AG1806,AG1812
2018-06-12,-0.05497344085210151,AG1806,AG1812
2018-06-13,-0.05074380887656099,AG1806,AG1812
2018-06-14,-0.053602788019985304,AG1806,AG1812
2018-06-15,-0.05346230274660614,AG1806,AG1812
